time,seconds_elapsed,z,y,x
1704790059529790700,0.024790771484375,-0.9976043701171875,-0.295379638671875,-0.0811309814453125
1704790059539766500,0.0347666015625,-1.0310211181640625,-0.2758636474609375,-0.0901947021484375
1704790059549742600,0.04474267578125,-1.032196044921875,-0.28094482421875,-0.1113128662109375
1704790059559718700,0.05471875,-0.9960174560546875,-0.289581298828125,-0.0956573486328125
1704790059569694700,0.06469482421875,-0.90704345703125,-0.30126953125,-0.0870513916015625
1704790059579670800,0.0746708984375,-0.7612152099609375,-0.3108367919921875,-0.062774658203125
1704790059589645600,0.0846455078125,-0.6880340576171875,-0.32391357421875,-0.0901336669921875
1704790059599622000,0.094621826171875,-0.6763458251953125,-0.3618927001953125,-0.1386260986328125
1704790059609597700,0.10459765625,-0.7008209228515625,-0.3876495361328125,-0.1414794921875
1704790059619573500,0.114573486328125,-0.7369842529296875,-0.3894805908203125,-0.0941314697265625
1704790059629549800,0.1245498046875,-0.760528564453125,-0.3666839599609375,-0.005615234375
1704790059639525600,0.134525634765625,-0.8105926513671875,-0.407989501953125,0.0054473876953125
1704790059649501400,0.14450146484375,-0.9176177978515625,-0.4871368408203125,0.0473175048828125
1704790059659477800,0.154477783203125,-0.9697418212890625,-0.5531158447265625,0.133544921875
1704790059669453600,0.16445361328125,-1.007049560546875,-0.6162567138671875,0.2760772705078125
1704790059679428600,0.1744287109375,-0.987396240234375,-0.6258544921875,0.3311767578125
1704790059689404700,0.18440478515625,-0.907470703125,-0.4908447265625,0.1915130615234375
1704790059699380700,0.194380615234375,-0.853240966796875,-0.35382080078125,0.0227508544921875
1704790059709356500,0.2043564453125,-0.8212890625,-0.3469085693359375,-0.0402374267578125
1704790059719332600,0.21433251953125,-0.838409423828125,-0.4258270263671875,0.01312255859375
1704790059729308700,0.22430859375,-0.8728790283203125,-0.496917724609375,0.07049560546875
1704790059739284700,0.23428466796875,-0.9003448486328125,-0.489410400390625,0.0817718505859375
1704790059749260500,0.244260498046875,-0.86212158203125,-0.403594970703125,0.1065826416015625
1704790059759236600,0.254236572265625,-0.8549346923828125,-0.41302490234375,0.083251953125
1704790059769212700,0.264212646484375,-0.880218505859375,-0.4463043212890625,0.029327392578125
1704790059779187700,0.274187744140625,-0.88970947265625,-0.47479248046875,-0.01483154296875
1704790059789163500,0.28416357421875,-0.8951416015625,-0.500823974609375,-0.095184326171875
1704790059799139800,0.294139892578125,-0.9377593994140625,-0.5078887939453125,-0.208892822265625
1704790059809115600,0.30411572265625,-1.0054779052734375,-0.510467529296875,-0.2788848876953125
1704790059819091500,0.314091552734375,-1.0561065673828125,-0.4698486328125,-0.2103729248046875
1704790059829067800,0.32406787109375,-1.0715179443359375,-0.3859405517578125,-0.1265869140625
1704790059839043600,0.334043701171875,-1.036529541015625,-0.34942626953125,-0.0743255615234375
1704790059849019600,0.34401953125,-0.93121337890625,-0.3441162109375,-0.067138671875
1704790059858995700,0.35399560546875,-0.804168701171875,-0.3629913330078125,-0.0990753173828125
1704790059868970800,0.363970703125,-0.6884613037109375,-0.4027252197265625,-0.1585235595703125
1704790059878946600,0.373946533203125,-0.632904052734375,-0.46514892578125,-0.1711578369140625
1704790059888922600,0.383922607421875,-0.682342529296875,-0.5755462646484375,-0.12799072265625
1704790059898898700,0.393898681640625,-0.76666259765625,-0.6123504638671875,-0.18756103515625
1704790059908874800,0.403874755859375,-0.901123046875,-0.6107940673828125,-0.2515411376953125
1704790059918850600,0.4138505859375,-1.0445098876953125,-0.6197509765625,-0.2599945068359375
1704790059928826600,0.42382666015625,-1.107452392578125,-0.594451904296875,-0.2405548095703125
1704790059938802700,0.433802734375,-1.0884857177734375,-0.5602569580078125,-0.2140655517578125
1704790059948778800,0.44377880859375,-1.0356903076171875,-0.5520782470703125,-0.172698974609375
1704790059958754600,0.453754638671875,-1.000213623046875,-0.5677490234375,-0.1539306640625
1704790059968729900,0.463729736328125,-0.9681549072265625,-0.5931854248046875,-0.1835174560546875
1704790059978705700,0.47370556640625,-0.9429473876953125,-0.6306915283203125,-0.2268218994140625
1704790059988681500,0.483681396484375,-0.9109954833984375,-0.6663665771484375,-0.2340850830078125
1704790059998657800,0.49365771484375,-0.8860931396484375,-0.684173583984375,-0.2291717529296875
1704790060008633600,0.503633544921875,-0.8858489990234375,-0.68853759765625,-0.2364044189453125
1704790060018609700,0.513609619140625,-0.9055938720703125,-0.692535400390625,-0.23480224609375
1704790060028585700,0.523585693359375,-0.93865966796875,-0.67596435546875,-0.212982177734375
1704790060038561500,0.5335615234375,-0.9491119384765625,-0.6368560791015625,-0.1878814697265625
1704790060048537900,0.543537841796875,-0.929351806640625,-0.6454925537109375,-0.2014617919921875
1704790060058513700,0.553513671875,-0.856903076171875,-0.6307373046875,-0.172210693359375
1704790060068488700,0.56348876953125,-0.7870941162109375,-0.6095733642578125,-0.148040771484375
1704790060078464800,0.57346484375,-0.7567291259765625,-0.6075897216796875,-0.151458740234375
1704790060088440600,0.583440673828125,-0.7601776123046875,-0.621307373046875,-0.1738433837890625
1704790060098416600,0.593416748046875,-0.8343048095703125,-0.631744384765625,-0.211090087890625
1704790060108392700,0.603392822265625,-0.8983154296875,-0.6337738037109375,-0.23284912109375
1704790060118368500,0.613368408203125,-0.88104248046875,-0.6127777099609375,-0.2132720947265625
1704790060128344800,0.6233447265625,-0.82513427734375,-0.57916259765625,-0.1851806640625
1704790060138320600,0.633320556640625,-0.780029296875,-0.5365753173828125,-0.1495208740234375
1704790060148296700,0.643296630859375,-0.7500152587890625,-0.4914703369140625,-0.1092071533203125
