time,seconds_elapsed,z,y,x
1704370119928652300,0.06065234375,-1.1242249789595604,0.560292580576241,-0.04119569627931341
1704370119938628400,0.07062841796875,-0.8677449570715426,0.39429669334217904,-0.26803874132717026
1704370119948604400,0.0806044921875,-0.5901210248678922,0.19379896317794917,-0.4880574750466272
1704370119958580200,0.090580322265625,-0.31319501180052756,0.06331278074234724,-0.6642649962261319
1704370119968556300,0.100556396484375,-0.04796002104878425,-0.04019669357091188,-0.7568423768322914
1704370119978532400,0.110532470703125,0.12698328888118265,-0.1308726975351572,-0.7480005334027111
1704370119988508400,0.12050830078125,0.2527998720705509,-0.19434066883921622,-0.6511117924034595
1704370119998484500,0.130484375,0.32016660437881944,-0.2267752039760351,-0.47546493731401857
1704370120008460300,0.140460205078125,0.2743073550015688,-0.22128625117093323,-0.27237989407032726
1704370120018436400,0.150436279296875,0.11783318322002886,-0.18421119675189257,-0.06701664022896438
1704370120028412400,0.160412353515625,-0.04536942003369331,-0.042188159649074075,0.06050597969330847
1704370120038388200,0.17038818359375,-0.1758154165893793,0.09706541274040936,0.15050744539685545
1704370120048364300,0.1803642578125,-0.28889994397759433,0.20000906986445188,0.21247825521202757
1704370120058340400,0.19034033203125,-0.3977127853959799,0.23051731311380863,0.2279841413743794
1704370120068316400,0.20031640625,-0.514486230430007,0.20095131915062664,0.24017387045975774
1704370120078292500,0.21029248046875,-0.5880114853680134,0.16649083114415406,0.21285974707659333
1704370120088268300,0.220268310546875,-0.622514643472433,0.13505787426531313,0.11973777473233639
1704370120098244400,0.230244384765625,-0.5772545290321112,0.07793518033474683,0.019394070973619816
1704370120108220400,0.240220458984375,-0.4698369413644075,0.012703121967613697,-0.0765462832596153
1704370120118196200,0.2501962890625,-0.3261462633103132,-0.06573387040942907,-0.14085209362730383
1704370120128172300,0.26017236328125,-0.22138006693422793,-0.1624190516605973,-0.21510781826432793
1704370120138148400,0.2701484375,-0.1980634887546301,-0.23355741146206854,-0.2706821502417326
1704370120148124400,0.28012451171875,-0.1628530591636896,-0.23371552463322876,-0.32580548704862594
1704370120158100500,0.2901005859375,-0.0957025999546051,-0.14484423200339078,-0.3925782355191186
1704370120168076300,0.300076171875,0.007637947532534599,-0.027255671194195745,-0.42132535084746775
1704370120178052400,0.31005224609375,0.07016308502852917,0.062201020108163356,-0.35879305295832453
1704370120188028400,0.3200283203125,0.059902972298860546,0.13130582825541495,-0.22998207372594623
1704370120198004200,0.330004150390625,-0.04713584518432617,0.18823826031088828,-0.09395199342761189
1704370120207979500,0.3399794921875,-0.1504085881322622,0.3030646629303694,-0.023301380610466
1704370120217955300,0.349955322265625,-0.1821726766616106,0.45218993325382467,-0.0015539514437317846
1704370120227931100,0.35993115234375,-0.15384791493117808,0.5597314395621419,0.011876681080833076
1704370120237907500,0.369907470703125,-0.10241408029198645,0.5907707209482789,0.07325436557475477
1704370120247883300,0.37988330078125,-0.06177928756475448,0.5821124904572963,0.15103245565164833
1704370120257859600,0.389859619140625,-0.019177578678727148,0.5667755128547549,0.19845851595420388
1704370120267835400,0.39983544921875,-0.02061842513680458,0.5912167111501098,0.1741539496505633
1704370120277811200,0.409811279296875,-0.03926291985213756,0.604097820033133,0.11096622005999088
1704370120287787500,0.41978759765625,-0.11567337483763694,0.5965989887103438,0.06236848562955856
1704370120297763300,0.429763427734375,-0.18230010243356226,0.6006058862641453,0.026735994701646268
1704370120307739100,0.4397392578125,-0.14878712441027164,0.6049500529482961,-0.0026070406932383774
1704370120317715500,0.449715576171875,-0.04352174634039402,0.6049956456556916,-0.030162790812551972
1704370120327691300,0.459691162109375,0.017470190238952635,0.5779816742628813,-0.060234651938639576
1704370120337667600,0.46966748046875,0.05396890607476234,0.5468287033692002,-0.07493018983248621
1704370120347643400,0.479643310546875,0.0666278966397047,0.5320753708735108,-0.11535820794124156
1704370120357619200,0.489619140625,0.07204290742576122,0.4903557055190205,-0.13707345187142492
1704370120367595500,0.499595458984375,0.03457446977496147,0.42549949472695586,-0.15446155331749467
1704370120377571300,0.5095712890625,0.03009586305618286,0.3844043910115957,-0.16914514504522085
1704370120387547100,0.519547119140625,0.0731330407500267,0.3767839791357517,-0.174909371127747
1704370120397523500,0.5295234375,0.1390729551255703,0.39136633897870776,-0.14948332651350646
1704370120407499300,0.539499267578125,0.16694178978204727,0.39123306798785923,-0.12332206295989454
1704370120417475600,0.5494755859375,0.1571504636079073,0.3575619767934084,-0.09172880095280707
1704370120427451400,0.559451416015625,0.11986439678668975,0.36609278151243924,-0.0738844071066007
1704370120437427200,0.56942724609375,0.06810790606439113,0.4134878621548414,-0.06756568894647061
1704370120447403500,0.579403564453125,-0.00414835185110569,0.4113254234239459,-0.0787200105695054
1704370120457379300,0.58937939453125,-0.07457154912054538,0.39687019709199667,-0.08859105091635137
1704370120467355100,0.599355224609375,-0.09861819514036178,0.3585147474735975,-0.11942713788058608
1704370120477331500,0.60933154296875,-0.10219663814902305,0.31482553561180826,-0.18513046702127903
1704370120487307300,0.619307373046875,-0.11000351250767708,0.24967940196245908,-0.2277513189991936
1704370120497283600,0.62928369140625,-0.13041443237364292,0.205920924256742,-0.27954920117780563
1704370120507259400,0.63925927734375,-0.18690905753374099,0.19429039995670316,-0.3036189358122647
1704370120517235200,0.649235107421875,-0.21314064637720584,0.17362053689360618,-0.3326901319958269
1704370120527211500,0.65921142578125,-0.2670914322733879,0.1620949342727661,-0.32280612256955354
1704370120537187300,0.669187255859375,-0.3188146052479744,0.16328151370882987,-0.30141079477611926
